EventTimeDate,MentionSourceName,MentionIdentifier,Confidence,MentionDocTone
08/23/2016,forbes.com,http://www.forbes.com/sites/rogeraitken/2016/08/23/crypto-investor-offers-150000-nxt-winner-takes-all-bounty-to-launch-ardor-blockchain/,20,0.87579617834394
11/01/2016,forbes.com,http://www.forbes.com/sites/hpeenterprisenxt/2016/11/01/all-about-blockchain-and-why-its-a-bigger-deal-than-bitcoin/,100,2.25856697819315
06/21/2016,forbes.com,http://www.forbes.com/sites/rogeraitken/2016/06/21/nxt-crypto-blockchain-team-prepares-ardor-scalable-child-chain-platform/,100,1.7283950617284
07/17/2016,forbes.com,http://www.forbes.com/sites/rogeraitken/2016/07/17/nxt-ramps-up-decentralized-asset-exchange-on-ardor-platform/,100,2.06611570247933
10/19/2015,tmcnet.com,http://www.tmcnet.com/usubmit/-bitco-alternative-nxt-announces-coordinated-marketing-project-codenamed-/2015/10/19/8263464.htm,30,1.59574468085106
12/12/2015,cryptocoinsnews.com,https://www.cryptocoinsnews.com/bitcoin-core-developer-jeff-garzik-believes-nxt-is-a-scamcoin/,100,-0.77720207253886
10/19/2015,buzzstake.com,http://buzzstake.com/bitcoin-alternative-nxt-announces-coordinated-marketing-project-codenamed-project-tennessee/,30,1.59074475777296
10/19/2015,itbusinessnet.com,http://www.itbusinessnet.com/article/Bitcoin-Alternative-NXT-Announces-Coordinated-Marketing-Project-Codenamed-Project-Tennessee-4123014,30,1.59817351598174
10/19/2015,itnewsonline.com,http://www.itnewsonline.com/prnewswire/Bitcoin-Alternative-NXT-Announces-Coordinated-Marketing-Project-Codenamed-Project-Tennessee/401765,20,1.60183066361556
10/19/2015,marketwatch.com,http://www.marketwatch.com/story/bitcoin-alternative-nxt-announces-coordinated-marketing-project-codenamed-project-tennessee-2015-10-19,30,1.58371040723982
11/18/2015,cointelegraph.com,http://cointelegraph.com/news/115676/nxt-asset-exchange-and-farla-webmedia-legal-concerns,50,0.21299254526091
08/29/2015,theregister.co.uk,http://www.theregister.co.uk/2015/08/29/forking_bitcoinxt/,100,-2.0310633213859
08/27/2015,bitcoinist.net,http://bitcoinist.net/bitcoinxt-evolution-revolution/,50,-3.07017543859649
07/29/2015,insidebitcoins.com,http://insidebitcoins.com/news/bitcoinxt-evolution-or-revolution/34557,50,-2.87356321839081
04/08/2015,busbyway.com,http://www.busbyway.com/2015/04/08/cryptocurrency-platform-nxt-moving-forward-in-2015-with-nxt-foundation-conference-sponsorships-and-technical-development/,100,4.45269016697588
06/19/2015,bobsguide.com,http://www.bobsguide.com/guide/news/2015/Jun/19/nxt-set-to-give-bitcoin-a-run-for-its-digital-money.html,100,2.44648318042813
04/08/2015,yahoo.com,http://finance.yahoo.com/news/cryptocurrency-platform-nxt-moving-forward-032500979.html,100,4.63320463320463
